Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
com.fasterxml.jackson.core:jackson-annotations:2.15.2,com.fasterxml.jackson.core,,JsonProperty,1,
com.fasterxml.jackson.core:jackson-databind:2.15.2,com.fasterxml.jackson.core,,ObjectMapper,1,
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.15.2,com.fasterxml.jackson.datatype,,JavaTimeModule,1,
com.smoketurner:dropwizard-swagger:4.0.5-1,com.smoketurner,,"SwaggerBundle, SwaggerBundleConfiguration",1,
io.dropwizard.metrics:metrics-healthchecks:4.2.19,io.dropwizard.metrics,,"HealthCheck, HealthCheck.Result",1,
io.dropwizard:dropwizard-configuration:4.0.2,io.dropwizard,,"ConfigurationFactory, ConfigurationFactoryFactory, DefaultConfigurationFactoryFactory, ConfigurationException",1,
io.dropwizard:dropwizard-core:4.0.2,io.dropwizard,,"Application, Bootstrap, Configuration, Environment",1,
io.dropwizard:dropwizard-db:4.0.2,io.dropwizard,,"DataSourceFactory, ManagedDataSource",1,
io.dropwizard:dropwizard-forms:4.0.2,io.dropwizard,,MultiPartBundle,1,
io.dropwizard:dropwizard-jackson:4.0.2,io.dropwizard,,Jackson,1,
io.dropwizard:dropwizard-lifecycle:4.0.2,io.dropwizard,,Managed,1,
io.dropwizard:dropwizard-testing:4.0.2,io.dropwizard,,"DropwizardAppExtension, ResourceHelpers, ConfigOverride, DropwizardExtensionsSupport",1,
io.swagger.core.v3:swagger-annotations-jakarta:2.2.20,io.swagger.core.v3,,"Operation, Parameter, Tag",1,
jakarta.servlet:jakarta.servlet-api:5.0.0,jakarta.servlet,,"HttpServletRequest, HttpServletResponse, DispatcherType, Filter, FilterChain, FilterConfig, HttpServlet, ServletException",1,
jakarta.validation:jakarta.validation-api:3.0.2,jakarta.validation,,"NotNull, Valid, Validator, NotBlank, Past, Validation",1,
jakarta.ws.rs:jakarta.ws.rs-api:3.0.0,jakarta.ws.rs,,"Response, MediaType, Path, Produces, Response.Status, WebApplicationException, Consumes, GET",1,
org.assertj:assertj-core:3.24.2,org.assertj,,ThrowingExtractor,1,
org.jdbi:jdbi3-core:3.41.2,org.jdbi,,"Jdbi, RowMapper, Handle, StatementContext",1,
org.junit.jupiter:junit-jupiter-api:5.10.0,org.junit.jupiter,,"Test, ExtendWith, BeforeAll, BeforeEach",1,
org.mockito:mockito-core:5.5.0,org.mockito,,"InvocationOnMock, Mock",1,
org.mockito:mockito-junit-jupiter:5.5.0,org.mockito,,MockitoExtension,1,
org.slf4j:slf4j-api:2.0.9,org.slf4j,,"Logger, LoggerFactory",1,
